year,state,industry,employed
1997,Kedah,"Agriculture, forestry, livestock and fishing",146.1
1998,Kedah,"Agriculture, forestry, livestock and fishing",117.8
1999,Kedah,"Agriculture, forestry, livestock and fishing",165.2
2000,Kedah,"Agriculture, forestry, livestock and fishing",120.3
2001,Kedah,"Agriculture, hunting and forestry",110.2
2002,Kedah,"Agriculture, hunting and forestry",102.9
2003,Kedah,"Agriculture, hunting and forestry",86
2004,Kedah,"Agriculture, hunting and forestry",96.9
2005,Kedah,"Agriculture, hunting and forestry",104.5
2006,Kedah,"Agriculture, hunting and forestry",105.2
2007,Kedah,"Agriculture, hunting and forestry",96.1
2008,Kedah,"Agriculture, hunting and forestry",98.9
2009,Kedah,"Agriculture, hunting and forestry",97.6
2010,Kedah,"Agriculture, forestry and fishing",115.3
2011,Kedah,"Agriculture, forestry and fishing",118
2012,Kedah,"Agriculture, forestry and fishing",162.9
2013,Kedah,"Agriculture, forestry and fishing",171.5
2014,Kedah,"Agriculture, forestry and fishing",119.3
2015,Kedah,"Agriculture, forestry and fishing",119
2016,Kedah,"Agriculture, forestry and fishing",114
2017,Kedah,"Agriculture, forestry and fishing",121.2
2018,Kedah,"Agriculture, forestry and fishing",127.3
2019,Kedah,"Agriculture, forestry and fishing",127.8
2020,Kedah,"Agriculture, forestry and fishing",119.4
2021,Kedah,"Agriculture, forestry and fishing",99.1
1982,Kelantan,"Agriculture, forestry, livestock and fishing",123
1983,Kelantan,"Agriculture, forestry, livestock and fishing",114.2
1984,Kelantan,"Agriculture, forestry, livestock and fishing",124.5
1985,Kelantan,"Agriculture, forestry, livestock and fishing",127.6
1986,Kelantan,"Agriculture, forestry, livestock and fishing",135.3
1987,Kelantan,"Agriculture, forestry, livestock and fishing",142.3
1988,Kelantan,"Agriculture, forestry, livestock and fishing",152.5
1989,Kelantan,"Agriculture, forestry, livestock and fishing",144.8
1990,Kelantan,"Agriculture, forestry, livestock and fishing",142.9
1992,Kelantan,"Agriculture, forestry, livestock and fishing",117.2
1993,Kelantan,"Agriculture, forestry, livestock and fishing",138.8
1995,Kelantan,"Agriculture, forestry, livestock and fishing",123.3
1996,Kelantan,"Agriculture, forestry, livestock and fishing",129.6
1997,Kelantan,"Agriculture, forestry, livestock and fishing",110.4
1998,Kelantan,"Agriculture, forestry, livestock and fishing",121.8
1999,Kelantan,"Agriculture, forestry, livestock and fishing",118.9
2000,Kelantan,"Agriculture, forestry, livestock and fishing",108
2001,Kelantan,"Agriculture, hunting and forestry",92.9
2002,Kelantan,"Agriculture, hunting and forestry",84.9
2003,Kelantan,"Agriculture, hunting and forestry",91.8
2004,Kelantan,"Agriculture, hunting and forestry",89.4
2005,Kelantan,"Agriculture, hunting and forestry",84.8
2006,Kelantan,"Agriculture, hunting and forestry",91.5
2007,Kelantan,"Agriculture, hunting and forestry",99.9
2008,Kelantan,"Agriculture, hunting and forestry",91.2
2009,Kelantan,"Agriculture, hunting and forestry",84.5
2010,Kelantan,"Agriculture, forestry and fishing",112.7
2011,Kelantan,"Agriculture, forestry and fishing",100.2
2012,Kelantan,"Agriculture, forestry and fishing",128.3
2013,Kelantan,"Agriculture, forestry and fishing",116.3
2014,Kelantan,"Agriculture, forestry and fishing",109.5
2015,Kelantan,"Agriculture, forestry and fishing",95.9
2016,Kelantan,"Agriculture, forestry and fishing",79.5
2017,Kelantan,"Agriculture, forestry and fishing",100.1
2018,Kelantan,"Agriculture, forestry and fishing",95.4
2019,Kelantan,"Agriculture, forestry and fishing",88.3
2020,Kelantan,"Agriculture, forestry and fishing",87.6
2021,Kelantan,"Agriculture, forestry and fishing",73.2
1982,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,635.80"
1983,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,670.90"
1984,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,695.00"
1985,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,717.40"
1986,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,764.50"
1987,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,846.40"
1988,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,883.80"
1989,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,832.50"
1990,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,737.60"
1992,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,535.80"
1993,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,558.60"
1995,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,526.80"
1996,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,626.20"
1997,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,481.30"
1998,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,616.50"
1999,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,623.70"
2000,MALAYSIA,"Agriculture, forestry, livestock and fishing","1,552.40"
2001,MALAYSIA,"Agriculture, hunting and forestry","1,288.20"
2002,MALAYSIA,"Agriculture, hunting and forestry","1,316.80"
2003,MALAYSIA,"Agriculture, hunting and forestry","1,301.20"
2004,MALAYSIA,"Agriculture, hunting and forestry","1,326.50"
2005,MALAYSIA,"Agriculture, hunting and forestry","1,355.20"
2006,MALAYSIA,"Agriculture, hunting and forestry","1,375.30"
2007,MALAYSIA,"Agriculture, hunting and forestry","1,437.30"
2008,MALAYSIA,"Agriculture, hunting and forestry","1,365.60"
2009,MALAYSIA,"Agriculture, hunting and forestry","1,349.60"
2010,MALAYSIA,"Agriculture, forestry and fishing","1,614.90"
2011,MALAYSIA,"Agriculture, forestry and fishing","1,421.70"
2012,MALAYSIA,"Agriculture, forestry and fishing","1,628.20"
2013,MALAYSIA,"Agriculture, forestry and fishing","1,758.90"
2014,MALAYSIA,"Agriculture, forestry and fishing","1,694.20"
2015,MALAYSIA,"Agriculture, forestry and fishing","1,753.90"
2016,MALAYSIA,"Agriculture, forestry and fishing","1,609.90"
2017,MALAYSIA,"Agriculture, forestry and fishing","1,635.00"
2018,MALAYSIA,"Agriculture, forestry and fishing","1,570.30"
2019,MALAYSIA,"Agriculture, forestry and fishing","1,541.10"
2020,MALAYSIA,"Agriculture, forestry and fishing","1,566.00"
2021,MALAYSIA,"Agriculture, forestry and fishing","1,550.00"
1982,Melaka,"Agriculture, forestry, livestock and fishing",38.8
1983,Melaka,"Agriculture, forestry, livestock and fishing",42.3
1984,Melaka,"Agriculture, forestry, livestock and fishing",38.6
1985,Melaka,"Agriculture, forestry, livestock and fishing",40
1986,Melaka,"Agriculture, forestry, livestock and fishing",42.3
1987,Melaka,"Agriculture, forestry, livestock and fishing",42.3
1988,Melaka,"Agriculture, forestry, livestock and fishing",41.7
1989,Melaka,"Agriculture, forestry, livestock and fishing",35.3
1990,Melaka,"Agriculture, forestry, livestock and fishing",29.8
1992,Melaka,"Agriculture, forestry, livestock and fishing",34.3
1993,Melaka,"Agriculture, forestry, livestock and fishing",27
1995,Melaka,"Agriculture, forestry, livestock and fishing",22.2
1996,Melaka,"Agriculture, forestry, livestock and fishing",23.9
1997,Melaka,"Agriculture, forestry, livestock and fishing",19.3
1998,Melaka,"Agriculture, forestry, livestock and fishing",23.5
1999,Melaka,"Agriculture, forestry, livestock and fishing",20.9
2000,Melaka,"Agriculture, forestry, livestock and fishing",23
2001,Melaka,"Agriculture, hunting and forestry",12.7
2002,Melaka,"Agriculture, hunting and forestry",14.1
2003,Melaka,"Agriculture, hunting and forestry",17.7
2004,Melaka,"Agriculture, hunting and forestry",19.7
2005,Melaka,"Agriculture, hunting and forestry",20.3
2006,Melaka,"Agriculture, hunting and forestry",17.4
2007,Melaka,"Agriculture, hunting and forestry",15.1
2008,Melaka,"Agriculture, hunting and forestry",15.5
2009,Melaka,"Agriculture, hunting and forestry",14.1
2010,Melaka,"Agriculture, forestry and fishing",16.9
2011,Melaka,"Agriculture, forestry and fishing",12.2
2012,Melaka,"Agriculture, forestry and fishing",21.4
2013,Melaka,"Agriculture, forestry and fishing",20.5
2014,Melaka,"Agriculture, forestry and fishing",17.1
2015,Melaka,"Agriculture, forestry and fishing",16
2016,Melaka,"Agriculture, forestry and fishing",18.2
2017,Melaka,"Agriculture, forestry and fishing",15.2
2018,Melaka,"Agriculture, forestry and fishing",15.1
2019,Melaka,"Agriculture, forestry and fishing",15.7
2020,Melaka,"Agriculture, forestry and fishing",17.8
2021,Melaka,"Agriculture, forestry and fishing",12.2
1982,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",81.1
1983,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",75.6
1984,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",78.2
1985,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",73.4
1986,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",80
1987,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",94.7
1988,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",86.3
1989,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",81.8
1990,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",73.8
1992,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",65
1993,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",64.7
1995,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",77.2
1996,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",66.3
1997,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",61.6
1998,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",62.6
1999,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",56
2000,Negeri Sembilan,"Agriculture, forestry, livestock and fishing",63.9
2001,Negeri Sembilan,"Agriculture, hunting and forestry",50.2
2002,Negeri Sembilan,"Agriculture, hunting and forestry",56.8
2003,Negeri Sembilan,"Agriculture, hunting and forestry",53.7
2004,Negeri Sembilan,"Agriculture, hunting and forestry",55.1
2005,Negeri Sembilan,"Agriculture, hunting and forestry",51.1
2006,Negeri Sembilan,"Agriculture, hunting and forestry",58.6
2007,Negeri Sembilan,"Agriculture, hunting and forestry",61.2
2008,Negeri Sembilan,"Agriculture, hunting and forestry",58.1
2009,Negeri Sembilan,"Agriculture, hunting and forestry",50.8
2010,Negeri Sembilan,"Agriculture, forestry and fishing",53.4
2011,Negeri Sembilan,"Agriculture, forestry and fishing",51.7
2012,Negeri Sembilan,"Agriculture, forestry and fishing",54.9
2013,Negeri Sembilan,"Agriculture, forestry and fishing",44.6
2014,Negeri Sembilan,"Agriculture, forestry and fishing",48.1
2015,Negeri Sembilan,"Agriculture, forestry and fishing",49.5
2016,Negeri Sembilan,"Agriculture, forestry and fishing",42.2
2017,Negeri Sembilan,"Agriculture, forestry and fishing",37.7
2018,Negeri Sembilan,"Agriculture, forestry and fishing",42.7
2019,Negeri Sembilan,"Agriculture, forestry and fishing",37.1
2020,Negeri Sembilan,"Agriculture, forestry and fishing",37.7
2021,Negeri Sembilan,"Agriculture, forestry and fishing",24.6
1982,Pulau Pinang,"Agriculture, forestry, livestock and fishing",36.3
1983,Pulau Pinang,"Agriculture, forestry, livestock and fishing",30.9
1984,Pulau Pinang,"Agriculture, forestry, livestock and fishing",29.8
1985,Pulau Pinang,"Agriculture, forestry, livestock and fishing",25.4
1986,Pulau Pinang,"Agriculture, forestry, livestock and fishing",31.7
1987,Pulau Pinang,"Agriculture, forestry, livestock and fishing",32.6
1988,Pulau Pinang,"Agriculture, forestry, livestock and fishing",31.5
1989,Pulau Pinang,"Agriculture, forestry, livestock and fishing",29.5
1990,Pulau Pinang,"Agriculture, forestry, livestock and fishing",24.8
1992,Pulau Pinang,"Agriculture, forestry, livestock and fishing",18.4
1993,Pulau Pinang,"Agriculture, forestry, livestock and fishing",18.2
1995,Pulau Pinang,"Agriculture, forestry, livestock and fishing",12
1996,Pulau Pinang,"Agriculture, forestry, livestock and fishing",14.4
1997,Pulau Pinang,"Agriculture, forestry, livestock and fishing",11
1998,Pulau Pinang,"Agriculture, forestry, livestock and fishing",19.7
1999,Pulau Pinang,"Agriculture, forestry, livestock and fishing",15.9
2000,Pulau Pinang,"Agriculture, forestry, livestock and fishing",18.9
2001,Pulau Pinang,"Agriculture, hunting and forestry",10.8
2002,Pulau Pinang,"Agriculture, hunting and forestry",11.8
2003,Pulau Pinang,"Agriculture, hunting and forestry",8.3
2004,Pulau Pinang,"Agriculture, hunting and forestry",10.4
2005,Pulau Pinang,"Agriculture, hunting and forestry",11.5
2006,Pulau Pinang,"Agriculture, hunting and forestry",10.4
2007,Pulau Pinang,"Agriculture, hunting and forestry",10.3
2008,Pulau Pinang,"Agriculture, hunting and forestry",10.5
2009,Pulau Pinang,"Agriculture, hunting and forestry",10.2
2010,Pulau Pinang,"Agriculture, forestry and fishing",14
2011,Pulau Pinang,"Agriculture, forestry and fishing",15.9
2012,Pulau Pinang,"Agriculture, forestry and fishing",22.8
2013,Pulau Pinang,"Agriculture, forestry and fishing",23.1
2014,Pulau Pinang,"Agriculture, forestry and fishing",17.2
2015,Pulau Pinang,"Agriculture, forestry and fishing",12.1
2016,Pulau Pinang,"Agriculture, forestry and fishing",10.5
2017,Pulau Pinang,"Agriculture, forestry and fishing",10.3
2018,Pulau Pinang,"Agriculture, forestry and fishing",13
2019,Pulau Pinang,"Agriculture, forestry and fishing",11.6
2020,Pulau Pinang,"Agriculture, forestry and fishing",13.9
2021,Pulau Pinang,"Agriculture, forestry and fishing",17.5
1982,Pahang,"Agriculture, forestry, livestock and fishing",110.2
1983,Pahang,"Agriculture, forestry, livestock and fishing",145.4
1984,Pahang,"Agriculture, forestry, livestock and fishing",128.6
1985,Pahang,"Agriculture, forestry, livestock and fishing",140.8
1986,Pahang,"Agriculture, forestry, livestock and fishing",143.1
1987,Pahang,"Agriculture, forestry, livestock and fishing",151.4
1988,Pahang,"Agriculture, forestry, livestock and fishing",164.2
1989,Pahang,"Agriculture, forestry, livestock and fishing",165.9
1990,Pahang,"Agriculture, forestry, livestock and fishing",180.6
1992,Pahang,"Agriculture, forestry, livestock and fishing",156.7
1993,Pahang,"Agriculture, forestry, livestock and fishing",134.6
1995,Pahang,"Agriculture, forestry, livestock and fishing",134.2
1996,Pahang,"Agriculture, forestry, livestock and fishing",148.2
1997,Pahang,"Agriculture, forestry, livestock and fishing",118.5
1998,Pahang,"Agriculture, forestry, livestock and fishing",125.4
1999,Pahang,"Agriculture, forestry, livestock and fishing",137.8
2000,Pahang,"Agriculture, forestry, livestock and fishing",149.8
2001,Pahang,"Agriculture, hunting and forestry",115.7
2002,Pahang,"Agriculture, hunting and forestry",119.6
2003,Pahang,"Agriculture, hunting and forestry",113.8
2004,Pahang,"Agriculture, hunting and forestry",134.9
2005,Pahang,"Agriculture, hunting and forestry",145.8
2006,Pahang,"Agriculture, hunting and forestry",157.8
2007,Pahang,"Agriculture, hunting and forestry",157.2
2008,Pahang,"Agriculture, hunting and forestry",152.7
2009,Pahang,"Agriculture, hunting and forestry",146
2010,Pahang,"Agriculture, forestry and fishing",151.6
2011,Pahang,"Agriculture, forestry and fishing",146.2
2012,Pahang,"Agriculture, forestry and fishing",157.5
2013,Pahang,"Agriculture, forestry and fishing",157.6
2014,Pahang,"Agriculture, forestry and fishing",154.5
2015,Pahang,"Agriculture, forestry and fishing",162.8
2016,Pahang,"Agriculture, forestry and fishing",151.8
2017,Pahang,"Agriculture, forestry and fishing",146.3
2018,Pahang,"Agriculture, forestry and fishing",159.7
2019,Pahang,"Agriculture, forestry and fishing",149.3
2020,Pahang,"Agriculture, forestry and fishing",149.9
2021,Pahang,"Agriculture, forestry and fishing",134.8
1982,Perak,"Agriculture, forestry, livestock and fishing",198.2
1983,Perak,"Agriculture, forestry, livestock and fishing",203.7
1984,Perak,"Agriculture, forestry, livestock and fishing",213.1
1985,Perak,"Agriculture, forestry, livestock and fishing",213
1986,Perak,"Agriculture, forestry, livestock and fishing",215.6
1987,Perak,"Agriculture, forestry, livestock and fishing",218.9
1988,Perak,"Agriculture, forestry, livestock and fishing",206
1989,Perak,"Agriculture, forestry, livestock and fishing",204.1
1990,Perak,"Agriculture, forestry, livestock and fishing",188.1
1992,Perak,"Agriculture, forestry, livestock and fishing",160.3
1993,Perak,"Agriculture, forestry, livestock and fishing",155.8
1995,Perak,"Agriculture, forestry, livestock and fishing",139.5
1996,Perak,"Agriculture, forestry, livestock and fishing",145.2
1997,Perak,"Agriculture, forestry, livestock and fishing",131.3
1998,Perak,"Agriculture, forestry, livestock and fishing",148
1999,Perak,"Agriculture, forestry, livestock and fishing",137.5
2000,Perak,"Agriculture, forestry, livestock and fishing",126.9
2001,Perak,"Agriculture, hunting and forestry",101.4
2002,Perak,"Agriculture, hunting and forestry",103.4
2003,Perak,"Agriculture, hunting and forestry",94
2004,Perak,"Agriculture, hunting and forestry",93.9
2005,Perak,"Agriculture, hunting and forestry",107.4
2006,Perak,"Agriculture, hunting and forestry",116.2
2007,Perak,"Agriculture, hunting and forestry",116.4
2008,Perak,"Agriculture, hunting and forestry",121.8
2009,Perak,"Agriculture, hunting and forestry",111.4
2010,Perak,"Agriculture, forestry and fishing",128.8
2011,Perak,"Agriculture, forestry and fishing",118.9
2012,Perak,"Agriculture, forestry and fishing",142.9
2013,Perak,"Agriculture, forestry and fishing",156.4
2014,Perak,"Agriculture, forestry and fishing",114.6
2015,Perak,"Agriculture, forestry and fishing",121.5
2016,Perak,"Agriculture, forestry and fishing",111.1
2017,Perak,"Agriculture, forestry and fishing",106.8
2018,Perak,"Agriculture, forestry and fishing",99
2019,Perak,"Agriculture, forestry and fishing",99.8
2020,Perak,"Agriculture, forestry and fishing",123.4
2021,Perak,"Agriculture, forestry and fishing",85.5
1982,Perlis,"Agriculture, forestry, livestock and fishing",23.4
1983,Perlis,"Agriculture, forestry, livestock and fishing",27.7
1984,Perlis,"Agriculture, forestry, livestock and fishing",28.5
1985,Perlis,"Agriculture, forestry, livestock and fishing",27.9
1986,Perlis,"Agriculture, forestry, livestock and fishing",24.2
1987,Perlis,"Agriculture, forestry, livestock and fishing",21.9
1988,Perlis,"Agriculture, forestry, livestock and fishing",19
1989,Perlis,"Agriculture, forestry, livestock and fishing",21.1
1990,Perlis,"Agriculture, forestry, livestock and fishing",18.8
1992,Perlis,"Agriculture, forestry, livestock and fishing",19.2
1993,Perlis,"Agriculture, forestry, livestock and fishing",20.6
1995,Perlis,"Agriculture, forestry, livestock and fishing",22
1996,Perlis,"Agriculture, forestry, livestock and fishing",18.1
1997,Perlis,"Agriculture, forestry, livestock and fishing",15
1998,Perlis,"Agriculture, forestry, livestock and fishing",16.9
1999,Perlis,"Agriculture, forestry, livestock and fishing",18.7
2000,Perlis,"Agriculture, forestry, livestock and fishing",16
2001,Perlis,"Agriculture, hunting and forestry",15.6
2002,Perlis,"Agriculture, hunting and forestry",8.4
2003,Perlis,"Agriculture, hunting and forestry",11.4
2004,Perlis,"Agriculture, hunting and forestry",10.6
2005,Perlis,"Agriculture, hunting and forestry",9.5
2006,Perlis,"Agriculture, hunting and forestry",11.9
2007,Perlis,"Agriculture, hunting and forestry",11.9
2008,Perlis,"Agriculture, hunting and forestry",10.1
2009,Perlis,"Agriculture, hunting and forestry",10.3
2010,Perlis,"Agriculture, forestry and fishing",12.5
2011,Perlis,"Agriculture, forestry and fishing",13.2
2012,Perlis,"Agriculture, forestry and fishing",13.5
2013,Perlis,"Agriculture, forestry and fishing",13.7
2014,Perlis,"Agriculture, forestry and fishing",13.3
2015,Perlis,"Agriculture, forestry and fishing",12.6
2016,Perlis,"Agriculture, forestry and fishing",12.3
2017,Perlis,"Agriculture, forestry and fishing",10
2018,Perlis,"Agriculture, forestry and fishing",12.7
2019,Perlis,"Agriculture, forestry and fishing",9
2020,Perlis,"Agriculture, forestry and fishing",12.2
2021,Perlis,"Agriculture, forestry and fishing",12.6
1982,Sabah,"Agriculture, forestry, livestock and fishing",128.8
1983,Sabah,"Agriculture, forestry, livestock and fishing",156.3
1984,Sabah,"Agriculture, forestry, livestock and fishing",191.6
1985,Sabah,"Agriculture, forestry, livestock and fishing",193.1
1986,Sabah,"Agriculture, forestry, livestock and fishing",186.9
1987,Sabah,"Agriculture, forestry, livestock and fishing",196.8
1988,Sabah,"Agriculture, forestry, livestock and fishing",197.5
1989,Sabah,"Agriculture, forestry, livestock and fishing",194.4
1990,Sabah,"Agriculture, forestry, livestock and fishing",178.8
1992,Sabah,"Agriculture, forestry, livestock and fishing",210.5
1993,Sabah,"Agriculture, forestry, livestock and fishing",265.2
1995,Sabah,"Agriculture, forestry, livestock and fishing",287.5
1996,Sabah,"Agriculture, forestry, livestock and fishing",352.2
1997,Sabah,"Agriculture, forestry, livestock and fishing",323
1998,Sabah,"Agriculture, forestry, livestock and fishing",409.1
1999,Sabah,"Agriculture, forestry, livestock and fishing",421.3
2000,Sabah,"Agriculture, forestry, livestock and fishing",340.2
2001,Sabah,"Agriculture, hunting and forestry",286.5
2002,Sabah,"Agriculture, hunting and forestry",318.6
2003,Sabah,"Agriculture, hunting and forestry",314.6
2004,Sabah,"Agriculture, hunting and forestry",313
2005,Sabah,"Agriculture, hunting and forestry",338.9
2006,Sabah,"Agriculture, hunting and forestry",322.6
2007,Sabah,"Agriculture, hunting and forestry",374.8
2008,Sabah,"Agriculture, hunting and forestry",364.5
2009,Sabah,"Agriculture, hunting and forestry",365.3
2010,Sabah,"Agriculture, forestry and fishing",492.1
2011,Sabah,"Agriculture, forestry and fishing",385.4
2012,Sabah,"Agriculture, forestry and fishing",402.5
2013,Sabah,"Agriculture, forestry and fishing",457.8
2014,Sabah,"Agriculture, forestry and fishing",542.3
2015,Sabah,"Agriculture, forestry and fishing",625.7
2016,Sabah,"Agriculture, forestry and fishing",581.6
2017,Sabah,"Agriculture, forestry and fishing",570.4
2018,Sabah,"Agriculture, forestry and fishing",504.4
2019,Sabah,"Agriculture, forestry and fishing",495.8
2020,Sabah,"Agriculture, forestry and fishing",472.1
2021,Sabah,"Agriculture, forestry and fishing",481.6
1982,Sarawak,"Agriculture, forestry, livestock and fishing",282.1
1983,Sarawak,"Agriculture, forestry, livestock and fishing",274.3
1984,Sarawak,"Agriculture, forestry, livestock and fishing",290.8
1985,Sarawak,"Agriculture, forestry, livestock and fishing",292.6
1986,Sarawak,"Agriculture, forestry, livestock and fishing",316.4
1987,Sarawak,"Agriculture, forestry, livestock and fishing",331.1
1988,Sarawak,"Agriculture, forestry, livestock and fishing",328
1989,Sarawak,"Agriculture, forestry, livestock and fishing",362.5
1990,Sarawak,"Agriculture, forestry, livestock and fishing",329.5
1992,Sarawak,"Agriculture, forestry, livestock and fishing",299.4
1993,Sarawak,"Agriculture, forestry, livestock and fishing",299
1995,Sarawak,"Agriculture, forestry, livestock and fishing",295
1996,Sarawak,"Agriculture, forestry, livestock and fishing",288.2
1997,Sarawak,"Agriculture, forestry, livestock and fishing",276.9
1998,Sarawak,"Agriculture, forestry, livestock and fishing",283.8
1999,Sarawak,"Agriculture, forestry, livestock and fishing",256
2000,Sarawak,"Agriculture, forestry, livestock and fishing",307.6
2001,Sarawak,"Agriculture, hunting and forestry",275.7
2002,Sarawak,"Agriculture, hunting and forestry",286.5
2003,Sarawak,"Agriculture, hunting and forestry",262.5
2004,Sarawak,"Agriculture, hunting and forestry",264.2
2005,Sarawak,"Agriculture, hunting and forestry",265
2006,Sarawak,"Agriculture, hunting and forestry",267.3
2007,Sarawak,"Agriculture, hunting and forestry",275.1
2008,Sarawak,"Agriculture, hunting and forestry",225.2
2009,Sarawak,"Agriculture, hunting and forestry",261.9
2010,Sarawak,"Agriculture, forestry and fishing",298.5
2011,Sarawak,"Agriculture, forestry and fishing",251
2012,Sarawak,"Agriculture, forestry and fishing",295.6
2013,Sarawak,"Agriculture, forestry and fishing",347
2014,Sarawak,"Agriculture, forestry and fishing",331.5
2015,Sarawak,"Agriculture, forestry and fishing",304.4
2016,Sarawak,"Agriculture, forestry and fishing",301.1
2017,Sarawak,"Agriculture, forestry and fishing",299.3
2018,Sarawak,"Agriculture, forestry and fishing",259.2
2019,Sarawak,"Agriculture, forestry and fishing",271.5
2020,Sarawak,"Agriculture, forestry and fishing",272
2021,Sarawak,"Agriculture, forestry and fishing",213.5
1982,Selangor,"Agriculture, forestry, livestock and fishing",109.1
1983,Selangor,"Agriculture, forestry, livestock and fishing",115.3
1984,Selangor,"Agriculture, forestry, livestock and fishing",93.4
1985,Selangor,"Agriculture, forestry, livestock and fishing",96.6
1986,Selangor,"Agriculture, forestry, livestock and fishing",95.9
1987,Selangor,"Agriculture, forestry, livestock and fishing",111.1
1988,Selangor,"Agriculture, forestry, livestock and fishing",129.4
1989,Selangor,"Agriculture, forestry, livestock and fishing",92.7
1990,Selangor,"Agriculture, forestry, livestock and fishing",88.8
1992,Selangor,"Agriculture, forestry, livestock and fishing",66.4
1993,Selangor,"Agriculture, forestry, livestock and fishing",65.7
